category,count
"Burgers, American, Sandwiches",2439
"Mexican, Latin American, New Mexican",2273
"Fast Food, Sandwich, American",1196
"American, Burgers, Fast Food",995
"Pizza, American, Italian",961
"Burritos, Fast Food, Mexican",637
"American, Burgers, Sandwiches",632
"American, burger, Fast Food",602
"Coffee and Tea, American, Breakfast and Brunch",585
"American, Fast Food, Burgers",556
"Chinese, Asian, Asian Fusion",490
"Pharmacy, Convenience, Everyday Essentials, Baby",477
"American, burger, Fast Food, Family Meals",472
"American, Breakfast and Brunch, Desserts",469
"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea",446
"Breakfast and Brunch, American, Sandwiches",446
"Everyday Essentials, Convenience, Pharmacy, Snacks",410
"Italian, Pasta, Comfort Food",391
"Sandwiches, American, Healthy",362
"Seafood, American, Southern",344
"Everyday Essentials, Convenience, Home &amp; Personal Care, Snacks, Pizza, American",338
"Thai, Asian, Noodles",320
"American, Chicken, Family Meals, Fried Chicken, Comfort Food",309
"BBQ, American, Burgers",308
"Japanese, Asian, Sushi",298
"Asian, Chinese, Family Meals",292
"Healthy, Mexican",287
Pizza,285
"Indian, Vegetarian, Asian",271
"Comfort Food, American, Burgers",266
Mexican,266
"Ice Cream &amp; Frozen Yogurt, Comfort Food, Desserts",264
"Vietnamese, Noodles, Healthy",256
"Alcohol, Liquor Stores, Wine",243
"Ice Cream + Frozen Yogurt, Burgers, Chicken, American",236
"American, Fast Food, wings, Family Meals, Family Friendly",234
"Desserts, Ice Cream + Frozen Yogurt, Comfort Food",224
"Sandwich, American",223
American,212
"Sushi, Asian, Japanese",212
"Everyday Essentials, Grocery, Convenience, Home &amp; Personal Care, Snacks, Pizza, American",210
"Convenience, Everyday Essentials, Snacks, Home &amp; Personal Care",198
"Mediterranean, Greek, Vegetarian",198
"Breakfast and Brunch, salad, Sandwich, Family Meals, Pizza, Healthy, American, Chicken",197
"Burgers, American, Sandwiches, Family Meals",188
"American, Burgers, Salads, Family Meals, Healthy, Comfort Food, Pasta, Sandwiches, Steak, Wings",185
"American, Burgers",179
"American, Burgers, Comfort Food, Vegetarian Friendly, Fast Food",175
Burgers,174
"Asian Fusion, Asian, Korean",174
"American, Burgers, Sandwich",173
"Burgers, Fast Food, Burgers, Sandwiches, American",173
"Korean, Asian, BBQ",167
"American, Fried Chicken, Family Meals, Southern, Sandwich, Fast Food",167
"Asian, Asian Fusion, Korean",165
"Grocery, Convenience, Everyday Essentials",163
"Everyday Essentials, Convenience, Home &amp; Personal Care, Snacks",156
"American, Bar Food, Wings, Fast Food, Chicken, Family Meals, Exclusive to Eats, Comfort Food",155
"Breakfast &amp; Brunch, Donuts",154
